stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Desktop\助教工作\程設一\final_project\YCY_template\final_project_bundle\tutorial\bin\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.11202] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11203] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11209] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11210] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11211] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11214] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11218] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11219] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11222] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.11223] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11224] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11225] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11228] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11230] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11231] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11232] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11234] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11236] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11237] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11238] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11239] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11241] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11242] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11243] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11246] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11247] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11248] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11249] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11250] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11251] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11254] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11255] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11256] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11257] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11258] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11260] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11261] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11263] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11264] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11272] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11274] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11275] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11277] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11278] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11279] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11281] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11283] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11285] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11288] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11290] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11292] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11293] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11294] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11295] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11297] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11298] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11300] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11302] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11304] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11305] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11306] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11307] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11309] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11310] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11311] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11313] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11316] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11317] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11318] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11319] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11320] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11321] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11326] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11329] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11330] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11332] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11334] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11337] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11339] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
